Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_gps,Departement
35171,MEDREAC,35360,"",MEDREAC,"48.2612561283,-2.06133339808",35
35184,MONTAUBAN DE BRETAGNE,35360,ST M HERVON,MONTAUBAN DE BRETAGNE,"48.2028996948,-2.06476180878",35
35060,LA CHAPELLE DU LOU DU LAC,35360,LA CHAPELLE DU LOU,LA CHAPELLE DU LOU DU LAC,"48.2222623755,-1.99322262284",35
35060,LA CHAPELLE DU LOU DU LAC,35360,LE LOU DU LAC,LA CHAPELLE DU LOU DU LAC,"48.2222623755,-1.99322262284",35
35143,LANDUJAN,35360,"",LANDUJAN,"48.2476416223,-2.00848370543",35
35027,BOISGERVILLY,35360,"",BOISGERVILLY,"48.1663042024,-2.08373655963",35
35184,MONTAUBAN DE BRETAGNE,35360,"",MONTAUBAN DE BRETAGNE,"48.2028996948,-2.06476180878",35
35109,ETRELLES,35370,"",ETRELLES,"48.0697223278,-1.21606173712",35
35217,LE PERTRE,35370,"",LE PERTRE,"48.0341523357,-1.05602216053",35
35272,ST GERMAIN DU PINEL,35370,"",ST GERMAIN DU PINEL,"48.0050253994,-1.17262707343",35
35006,ARGENTRE DU PLESSIS,35370,"",ARGENTRE DU PLESSIS,"48.0483656903,-1.13833015473",35
35038,BREAL SOUS VITRE,35370,"",BREAL SOUS VITRE,"48.0921515475,-1.06109442521",35
35042,BRIELLES,35370,"",BRIELLES,"48.0111591648,-1.09792357132",35
35183,MONDEVERT,35370,"",MONDEVERT,"48.0841466424,-1.09097545112",35
35338,TORCE,35370,"",TORCE,"48.06102043,-1.27189716204",35
35119,GENNES SUR SEICHE,35370,"",GENNES SUR SEICHE,"47.9983537714,-1.13315830309",35
35211,PAIMPONT,35380,"",PAIMPONT,"48.030192406,-2.17342058709",35
35223,PLELAN LE GRAND,35380,"",PLELAN LE GRAND,"47.9968736139,-2.07990195207",35
35305,ST PERAN,35380,"",ST PERAN,"48.0566572293,-2.06502362263",35
35340,TREFFENDEL,35380,"",TREFFENDEL,"48.0313953352,-2.00818373637",35
35169,MAXENT,35380,"",MAXENT,"47.9788328525,-2.01519596065",35
35249,STE ANNE SUR VILAINE,35390,"",STE ANNE SUR VILAINE,"47.7338101776,-1.8052140064",35
35098,LA DOMINELAIS,35390,"",LA DOMINELAIS,"47.7633908593,-1.67305925291",35
35124,GRAND FOUGERAY,35390,"",GRAND FOUGERAY,"47.7344338208,-1.72820099024",35
35316,ST SULPICE DES LANDES,35390,"",ST SULPICE DES LANDES,"47.7769253675,-1.62552770861",35
35288,ST MALO,35400,ST SERVAN SUR MER,ST MALO,"48.6400443482,-1.98060627256",35
35288,ST MALO,35400,ROTHENEUF,ST MALO,"48.6400443482,-1.98060627256",35
35288,ST MALO,35400,PARAME,ST MALO,"48.6400443482,-1.98060627256",35
35288,ST MALO,35400,"",ST MALO,"48.6400443482,-1.98060627256",35
35288,ST MALO,35400,CHATEAU MALO,ST MALO,"48.6400443482,-1.98060627256",35
35069,CHATEAUGIRON,35410,OSSE,CHATEAUGIRON,"48.0441575779,-1.50016256863",35
35204,NOUVOITOU,35410,"",NOUVOITOU,"48.0299058856,-1.55180159639",35
35099,DOMLOUP,35410,"",DOMLOUP,"48.0670688041,-1.54288380182",35
35069,CHATEAUGIRON,35410,ST AUBIN DU PAVAIL,CHATEAUGIRON,"48.0441575779,-1.50016256863",35
35069,CHATEAUGIRON,35410,"",CHATEAUGIRON,"48.0441575779,-1.50016256863",35
35111,LE FERRE,35420,"",LE FERRE,"48.4864153557,-1.29478720847",35
35174,MELLE,35420,"",MELLE,"48.4848259494,-1.19126091075",35
35162,LOUVIGNE DU DESERT,35420,"",LOUVIGNE DU DESERT,"48.4868885908,-1.12369660788",35
35018,LA BAZOUGE DU DESERT,35420,"",LA BAZOUGE DU DESERT,"48.4439442954,-1.10950795869",35
35190,MONTHAULT,35420,"",MONTHAULT,"48.5121983633,-1.17562696085",35
35230,POILLEY,35420,"",POILLEY,"48.4663238804,-1.25699060086",35
35271,ST GEORGES DE REINTEMBAULT,35420,"",ST GEORGES DE REINTEMBAULT,"48.5129956863,-1.23490800183",35
35357,VILLAMEE,35420,"",VILLAMEE,"48.4562439704,-1.21840173852",35
35279,ST GUINOUX,35430,"",ST GUINOUX,"48.5793096828,-1.88805991274",35
35358,LA VILLE ES NONAIS,35430,"",LA VILLE ES NONAIS,"48.5488601096,-1.95172640786",35
35306,ST PERE MARC EN POULET,35430,"",ST PERE MARC EN POULET,"48.5841780785,-1.9291577364",35
35070,CHATEAUNEUF D ILLE ET VILAINE,35430,"",CHATEAUNEUF D ILLE ET VILAINE,"48.5578928672,-1.92925036505",35
35284,ST JOUAN DES GUERETS,35430,"",ST JOUAN DES GUERETS,"48.6037491663,-1.96530816919",35
35314,ST SULIAC,35430,"",ST SULIAC,"48.569900609,-1.96692288512",35
35128,GUIPEL,35440,"",GUIPEL,"48.2923904516,-1.72349623823",35
35094,DINGE,35440,"",DINGE,"48.3468879458,-1.71071061366",35
35110,FEINS,35440,"",FEINS,"48.328121746,-1.62597037804",35
35195,MONTREUIL SUR ILLE,35440,"",MONTREUIL SUR ILLE,"48.3053148028,-1.6686934187",35
35101,DOURDAIN,35450,"",DOURDAIN,"48.1930816063,-1.37940357602",35
35154,LIVRE SUR CHANGEON,35450,"",LIVRE SUR CHANGEON,"48.2273048831,-1.34883997825",35
35141,LANDAVRAN,35450,"",LANDAVRAN,"48.1608061542,-1.28487259488",35
35170,MECE,35450,"",MECE,"48.2407410676,-1.28545546756",35
35347,VAL D IZE,35450,"",VAL D IZE,"48.1899182799,-1.30478438424",35
35191,LES PORTES DU COGLAIS,35460,COGLES,LES PORTES DU COGLAIS,"48.4485377499,-1.30298513536",35
